Symbol,Name,Sub_Industry,GICS_Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest,Analysts' mean target price,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),Previous close,Current stock price,Performance (today),Price_52W_Position,EBITDA_to_MarketCap,Earnings_Yield,Price/Earnings_zscore,Price/Book_zscore,Price/Sales_zscore,Valuation_Composite_Z,Growth_Score,Profitability_Score,Op_Margin_Norm,EBITDA_MCap_Norm,Net_Margin_Norm,Efficiency_Index,Quadrant,ROE_Norm,ROA_Norm,Current_Ratio_Norm,Quick_Ratio_Norm,Debt_Equity_Norm,Profitability_Health,Liquidity_Health,Leverage_Health,Health_Score,Risk_Tier,Fundamental_Score,Fund_Norm,Val_Norm,Valuation_Gap
MMM,3M,Industrial Conglomerates,Industrials,152.2,21.286713,0.0199,7.15,75.652176,155.0,83294183424.0,8117000192.0,2.5520616,17.855467,58270000000.0,5780000000.0,34229999999.999996,26.68,7.16,6.0,0.055999999999999994,92000.0,3.3,10.56,11.26,,1.7,4.02,14.97,123.19,1.0,1.5,1.08,0.95,-0.0327,10.14,9.52,1.59,0.006,0.1011,-0.0023,0.021,0.016,-0.062,-0.5760000000000001,-0.0816,0.0011,-0.011000000000000001,0.6809999999999999,-0.0102,0.126,0.402,0.193,0.43799999999999994,0.191,0.16899999999999998,0.586,-0.1494,551900000.0,543750000.0,13130000.0,122.86,-0.3064,0.0102,37.01,0.63,1108265.0,-0.024,-0.0824,-0.139,-0.11019999999999999,-0.2623,-0.10550000000000001,0.96,2.58,107.16,107.27,0.001,0.9647123278390091,0.0974497841065479,0.046977661605152474,-0.2365050087160848,0.4278434790652214,-0.3984776164886345,-0.0690463820464993,-0.15400000000000003,0.24033333333333337,0.4425702811244979,0.32547801545234545,0.44936284372904084,0.409480370204215,Cash Cow,0.5014089269612263,0.5831932773109244,0.2352941176470588,0.17307692307692307,0.9945608380338437,0.5423011021360753,0.20418552036199095,0.9945608380338437,0.5765443483731805,Stable,0.49301235928869774,0.6162137536583013,0.09892701204222551,-0.5172867416160758
AOS,A. O. Smith,Building Products,Industrials,67.3,18.539946,0.0196,3.63,66.76,92.45,9758164992.0,809100032.0,2.5060778,5.091157,10040000000.0,235700000.0,3750000000.0,11.48,3.22,1.2,0.0179,12000.0,2.9,45.22,18.67,5.65,2.67,5.84,20.83,69.75,1.2,1.7,0.2,0.19,0.0259,1.48,3.59,0.77,-0.499,0.08199999999999999,0.08,-0.069,0.046,-0.06,-1.905,0.07629999999999999,0.008100000000000001,-0.045899999999999996,0.9887999999999999,0.0059,0.071,0.133,0.113,0.354,0.06,0.063,0.762,0.1685,152270000.0,125930000.0,5510000.0,68.0,-0.049100000000000005,0.4672,60.22,0.84,506873.0,0.0104,0.025699999999999997,0.15109999999999998,0.1946,0.0322,0.19390000000000002,1.26,1.59,67.01,68.34,0.0199,0.021019852082522075,0.08291518258436104,0.05393758967798504,-0.27178927405930375,-0.17177616863871734,-0.40706178822297395,-0.28354241030699834,-0.6045,0.10566666666666667,0.3373493975903614,0.30679119693888,0.37826961770623746,0.3404580034296798,Underperformer,0.48624887285843105,0.4907563025210084,0.2745098039215686,0.2115384615384615,0.9989927477840451,0.4885025876897197,0.24302413273001505,0.9989927477840451,0.5680060992301059,Stable,0.45423205132989286,0.5520114602814432,0.06022519552262498,-0.49178626475881826
ABT,Abbott Laboratories,Health Care Equipment,Health Care,127.93,16.744764,0.0202,7.64,99.71,129.85,221889478656.0,10824999936.0,5.3834457,5.5757494,169740000000.0,6930000000.0,43650000000.0,21.04,5.96,2.04,0.020499999999999997,115000.0,2.0,25.32,20.51,3.05,3.89,4.72,16.69,37.76,1.2,1.6,0.46,0.4,-0.042,3.92,4.85,0.99,-0.006,0.1003,0.083,0.305,0.098,-0.12,-0.47200000000000003,-0.08,0.004,-0.0148,0.762,0.0027,0.094,0.192,0.13,0.561,0.192,0.159,0.35700000000000004,-0.0642,1740000000.0,1730000000.0,13190000.0,123.5,-0.1977,0.07,35.26,0.69,1709907.0,-0.0278,-0.109,-0.0393,-0.047,-0.1406,-0.09119999999999999,0.67,2.0,99.4,99.78,0.0038,0.9362972793629732,0.04878554856033633,0.059720160881335804,-0.29484972222522776,-0.1490118261738284,0.13007999206650864,-0.10459385211084919,-0.12500000000000003,0.1386666666666667,0.4433734939759036,0.26291147474874027,0.4426559356136821,0.38901962069908813,Underperformer,0.48957394048692515,0.5294117647058824,0.2549019607843137,0.2115384615384615,0.9976833199033038,0.5094928525964038,0.2332202111613876,0.9976833199033038,0.5730682003579689,Stable,0.4810439105285285,0.5963995257934136,0.09251313260900984,-0.5038863931844038
ABBV,AbbVie,Biotechnology,Health Care,183.9,64.3007,0.0373,2.86,153.58,207.32,324977033216.0,25629999104.0,5.8519626,53.88221,261850000000.00003,11780000000.0,58050000000.0,9.74,5.27,5.92,0.039599999999999996,50000.0,2.4,22.57,13.48,,4.51,15.36,28.37,18.43,0.8,1.0,3.67,3.43,-0.019,6.63,11.1,2.63,0.027000000000000003,-0.0027,-0.025,0.133,0.155,0.016,-0.38799999999999996,-0.025,0.0012,-0.1036,0.7090000000000001,0.001,0.083,0.7340000000000001,0.205,0.715,0.312,0.203,0.848,0.0015,1770000000.0,1770000000.0,11710000.0,163.22,-0.1516,0.1131,42.36,0.58,1706632.0,-0.0332,0.028300000000000002,-0.08839999999999999,0.076,0.0143,-0.0765,0.55,2.8,149.6,149.25,-0.0023,0.5641979903237813,0.07886710900879172,0.015551930227820225,0.3160416509670163,2.120245414272086,0.2175418705985203,0.8846096452792075,-0.04749999999999998,0.3406666666666667,0.5397590361445782,0.3015866774946871,0.47216633132126085,0.44802951710261574,Cash Cow,0.520119477006312,0.5109243697478991,0.1372549019607843,0.13461538461538464,0.981516921837228,0.5155219233771056,0.13593514328808448,0.981516921837228,0.5414443888884359,Watch,0.49473695299552584,0.6190688849594574,0.27099649459481956,-0.3480723903646379
ACN,Accenture,IT Consulting & Other Services,Information Technology,384.95,32.294464,0.017,11.92,278.69,387.51,240778526720.0,11065912320.0,3.7101948,8.508687,171050000000.0,7050000000.0,62380000000.0,36.46,9.1,4.48,0.017,721000.0,2.1,23.94,20.89,2.31,2.74,7.23,28.97,27.05,1.3,1.3,0.0,0.0,-0.0298,11.01,12.62,3.08,0.17,0.098,0.1038,0.145,0.11199999999999999,0.052000000000000005,0.10800000000000001,-0.0347,0.001,-0.1251,0.754,0.011899999999999999,0.153,0.324,0.319,0.32,0.151,0.113,0.361,-0.058499999999999996,658390000.0,657390000.0,5300000.0,317.02,-0.2305,0.09359999999999999,41.39,0.52,585642.0,0.0016,-0.07690000000000001,-0.0691,-0.0735,-0.1191,-0.0043,1.24,5.37,263.66,265.69,0.0077,0.9764749126998713,0.04595888375406702,0.030965059522276017,-0.095102258822816,-0.011233363377983181,-0.18227942756035903,-0.09620501658705273,0.11050000000000001,0.26533333333333337,0.41044176706827307,0.25927729378048164,0.41180415828303146,0.3655011424463631,Turnaround Candidate,0.49701307484220014,0.6285714285714286,0.196078431372549,0.23076923076923075,1.0,0.5627922517068144,0.21342383107088986,1.0,0.5891440500039926,Stable,0.47732259622517786,0.5902387466447536,0.09402674186270094,-0.4962120047820527
ADBE,Adobe Inc.,Application Software,Information Technology,437.45,35.42105,,12.35,403.75,638.25,190421991424.0,8134000128.0,9.090657,13.383815,153470000000.0,4760000000.0,17610000000.0,30.09,13.74,,,29239.0,2.2,34.26,19.75,2.53,8.72,11.49,25.18,20.75,1.1,1.1,0.29,0.26,-0.014499999999999999,10.1,17.51,3.76,0.006999999999999999,0.1439,0.1356,0.245,0.192,0.10099999999999999,-0.018000000000000002,-0.0171,0.0034000000000000002,-0.0318,0.841,-0.0074,0.179,0.33899999999999997,0.267,0.877,0.34600000000000003,0.27,0.0,-0.0302,467000000.0,457380000.0,5230000.0,387.81,-0.2691,0.2597,48.06,0.98,1466964.0,0.0378,-0.0983,0.0451,-0.0886,-0.198,0.028399999999999998,1.28,9.68,345.84,346.09,0.0007000000000000001,0.14371002132196156,0.04271565519913381,0.028231800017221396,-0.05493893588993025,0.21778195620228455,0.8221354214717255,0.32832614726135995,0.07050000000000001,0.26166666666666666,0.5670682730923694,0.25510754593351026,0.5171026156941649,0.4584903577252503,Star,0.49785843101893595,0.6722689075630253,0.1568627450980392,0.1923076923076923,0.9985394842868655,0.5850636692909806,0.17458521870286575,0.9985394842868655,0.5859628786133115,Stable,0.522226618169281,0.6645790843676681,0.1706254898365321,-0.49395359453113596
AMD,Advanced Micro Devices,Semiconductors,Information Technology,115.95,105.40909,,1.1,112.8,227.3,192886292480.0,4479000064.0,7.939341,3.3023837,135740000000.00002,1320000000.0,23600000000.0,33.84,3.68,,,25000.0,2.1,96.46,19.73,9.53,5.75,2.52,23.18,43.58,1.8,2.4,0.05,0.05,0.0633,0.89,4.33,0.56,-0.6729999999999999,0.419,0.1012,0.21899999999999997,0.35100000000000003,0.16,-0.9840000000000001,0.141,0.005,-0.0169,0.7070000000000001,0.033,0.02,0.024,0.024,0.449,0.054000000000000006,0.055999999999999994,0.0,0.1009,1620000000.0,1610000000.0,31500000.0,93.78,-0.3148,0.578,64.08,1.59,46038530.0,0.0705,0.0023,0.2254,0.0817,-0.184,0.3295,1.92,3.25,85.37,86.11,0.0087,0.02751091703056773,0.023220935020379526,0.009486847861033616,0.8441094996751631,-0.25580606261404476,0.6072098549789019,0.39850443068000674,-0.2865,0.02266666666666667,0.33253012048192765,0.23004361161132866,0.37357478202548616,0.3140975662838155,Underperformer,0.4801059513074841,0.4050420168067227,0.4117647058823529,0.3269230769230769,0.9997481869460113,0.4425739840571034,0.36934389140271495,0.9997481869460113,0.5877572171274592,Stable,0.45092739170563734,0.5465404690007012,0.1832878550586539,-0.36325261394204733
AES,AES Corporation,Independent Power Producers & Energy Traders,Energy,11.0,7.6388884,0.0615,1.44,10.81,22.21,7821297152.0,3334000128.0,0.63670605,2.3773503,16230000000.0,-546000000.0,12620000000.0,2.97,3.2,0.66,0.0269,9100.0,1.8,,12.92,,1.29,8.32,7.71,,1.0,1.2,14.7,13.6,-0.0181,-1.19,1.91,0.35,-0.318,0.1096,0.08070000000000001,-0.028999999999999998,0.037000000000000005,0.105,-0.495,-0.057999999999999996,0.0033,-0.2568,0.9740000000000001,0.0034000000000000002,-0.015,-0.256,0.022000000000000002,0.20199999999999999,0.064,-0.043,,0.003,668820000.0,666270000.0,11890000.0,31.0,-0.1629,0.34369999999999995,41.92,0.42,895469.0,0.0154,-0.053,-0.1106,-0.0795,0.1605,-0.13,0.94,0.64,24.72,25.02,0.0121,0.01666666666666662,0.4262720189767315,0.13090909928727326,-0.41182146786391627,-0.29926067954377905,-0.7560326896561432,-0.48903827902127955,-0.16774999999999998,-0.083,0.3405622489959839,0.748237553567752,0.3071763916834339,0.4528490831737494,Cash Cow,0.46432596934174925,0.34621848739495803,0.17647058823529407,0.17307692307692307,0.9259669621273167,0.40527222836835364,0.1747737556561086,0.9259669621273167,0.492331106682369,Distressed,0.4725900949280592,0.5824039084839342,0.023147290299795995,-0.5592566181841382
AFL,Aflac,Life & Health Insurance,Financials,107.38,15.955423,0.0214,6.73,75.44,115.5,59652595712.0,4779250176.0,3.4477284,2.4075692,39960000000.0,4200000000.0,19530000000.0,36.09,6.52,1.68,0.0254,12882.0,2.9,10.08,10.94,8.92,2.05,1.83,10.13,13.78,,,0.33,0.33,-0.0461,6.56,6.04,1.41,0.031,0.065,0.0113,0.145,-0.021,-0.262,-0.8109999999999999,-0.0721,0.001,-0.158,0.606,-0.009000000000000001,0.031,0.16399999999999998,0.149,,0.247,0.215,0.243,0.0282,619680000.0,563180000.0,10290000.0,71.5,-0.1153,0.2575,29.81,0.6,803621.0,-0.0308,-0.0639,-0.0789,0.0759,0.10550000000000001,-0.0898,0.94,1.29,66.12,65.48,-0.0097,0.7973040439340987,0.08011805888672474,0.06267461539565576,-0.3049893945346307,-0.29784110839798267,-0.23127617537358497,-0.2780355594353994,-0.26575,0.11466666666666665,0.4875502008032128,0.30319499632631736,0.4802146210596914,0.43004296553708776,Cash Cow,0.4879959422903516,0.42352941176470593,,,0.9983380338436745,0.45576267702752876,,0.9983380338436745,,Unscored,0.43004296553708776,0.5119654971540394,0.06121880427968126,-0.45074669287435815
A,Agilent Technologies,Life Sciences Tools & Services,Health Care,151.52,34.126125,,,124.16,155.35,43273355264.0,,,,41050000000.0,1320000000.0,6930000000.0,18.95,,0.9,0.0064,18300.0,1.9,31.77,22.34,2.32,5.92,7.44,,50.87,1.5,2.1,0.53,0.49,-0.030699999999999998,4.43,6.31,1.26,0.061,0.10830000000000001,0.1367,0.14800000000000002,0.08900000000000001,0.049,0.26899999999999996,-0.059699999999999996,0.003,-0.2261,0.907,-0.0331,0.125,0.25,0.16899999999999998,0.545,0.24100000000000002,0.191,0.18899999999999997,0.0323,296000000.0,294190000.0,2990000.0,164.29,-0.11789999999999999,0.2564,40.3,0.47,312065.0,-0.0021,-0.085,-0.0659,0.0756,0.0932,-0.0553,1.04,3.27,140.9,141.37,0.0033,0.8772042321256818,,0.02930306326897648,-0.0715732107663824,,,-0.0715732107663824,0.11699999999999999,0.18133333333333335,0.48273092369477905,,0.46411804158283027,,Unclassified,0.4928426510369702,0.5815126050420167,0.3529411764705882,0.2692307692307692,0.9973307816277196,0.5371776280394935,0.31108597285067874,0.9973307816277196,0.6073960775593169,Strong,0.6073960775593169,0.8055804045303666,0.09847109282411015,-0.7071093117062565
